DPT_ID,Format,DPT_Name
1.001,B1,DPT_Switch
1.002,B1,DPT_Bool
1.003,B1,DPT_Enable
1.004,B1,DPT_Ramp
1.005,B1,DPT_Alarm
1.006,B1,DPT_BinaryValue
1.007,B1,DPT_Step
1.008,B1,DPT_UpDown
1.009,B1,DPT_OpenClose
1.01,B1,DPT_Start
1.011,B1,DPT_State
1.012,B1,DPT_Invert
1.013,B1,DPT_DimSendStyle
1.014,B1,DPT_InputSource
1.015,B1,DPT_Reset
1.016,B1,DPT_Ack
1.017,B1,DPT_Trigger
1.018,B1,DPT_Occupancy
1.019,B1,DPT_Window_Door
1.021,B1,DPT_LogicalFunction
1.022,B1,DPT_Scene_AB
1.023,B1,DPT_ShutterBlinds_Mode
1.024,B1,DPT_DayNight
1.1,B1,DPT_Heat/Cool
1.12,B1,DPT_ConsumerProducer
1.1201,B1,DPT_EnergyDirection
2.001,B2,DPT_Switch_Control
2.002,B2,DPT_Bool_Control
2.003,B2,DPT_Enable_Control
2.004,B2,DPT_Ramp_Control
2.005,B2,DPT_Alarm_Control
2.006,B2,DPT_BinaryValue_Control
2.007,B2,DPT_Step_Control
2.008,B2,DPT_Direction1_Control
2.009,B2,DPT_Direction2_Control
2.01,B2,DPT_Start_Control
2.011,B2,DPT_State_Control
2.012,B2,DPT_Invert_Control
3.007,B1U 3,DPT_Control_Dimming
3.008,B1U 3,DPT_Control_Blinds
4.001,A8,DPT_Char_ASCII
4.002,A8,DPT_Char_8859_1
5.001,U 8,DPT_Scaling
5.003,U 8,DPT_Angle
5.004,U 8,DPT_Percent_U8
5.005,U 8,DPT_DecimalFactor
5.006,U 8,DPT_Tariff
5.01,U 8,DPT_Value_1_Ucount
6.001,V8,DPT_Percent_V8
6.01,V8,DPT_Value_1_Count
6.02,B5N 3,DPT_Status_Mode3
7.001,U 16,DPT_Value_2_Ucount
7.002,U 16,DPT_TimePeriodMsec
7.003,U 16,DPT_TimePeriod10MSec
7.004,U 16,DPT_TimePeriod100MSec
7.005,U 16,DPT_TimePeriodSec
7.006,U 16,DPT_TimePeriodMin
7.007,U 16,DPT_TimePeriodHrs
7.01,U 16,DPT_PropDataType
7.011,U 16,DPT_Length_mm
7.012,U 16,DPT_UElCurrentmA
7.013,U 16,DPT_Brightness
7.6,U 16,DPT_Absolute_Colour_Temperature
8.001,V16,DPT_Value_2_Count
8.002,V16,DPT_DeltaTimeMsec
8.003,V16,DPT_DeltaTime10MSec
8.004,V16,DPT_DeltaTime100MSec
8.005,V16,DPT_DeltaTimeSec
8.006,V16,DPT_DeltaTimeMin
8.007,V16,DPT_DeltaTimeHrs
8.01,V16,DPT_Percent_V16
8.011,V16,DPT_Rotation_Angle
8.012,V16,DPT_Length_m
9.001,F 16,DPT_Value_Temp
9.002,F 16,DPT_Value_Tempd
9.003,F 16,DPT_Value_Tempa
9.004,F 16,DPT_Value_Lux
9.005,F 16,DPT_Value_Wsp
9.006,F 16,DPT_Value_Pres
9.007,F 16,DPT_Value_Humidity
9.008,F 16,DPT_Value_AirQuality
9.009,F 16,DPT_Value_AirFlow
9.01,F 16,DPT_Value_Time1
9.011,F 16,DPT_Value_Time2
9.02,F 16,DPT_Value_Volt
9.021,F 16,DPT_Value_Curr
9.022,F 16,DPT_PowerDensity
9.023,F 16,DPT_KelvinPerPercent
9.024,F 16,DPT_Power
9.025,F 16,DPT_Value_Volume_Flow
9.026,F 16,DPT_Rain_Amount
9.027,F 16,DPT_Value_Temp_F
9.028,F 16,DPT_Value_Wsp_kmh
9.029,F 16,DPT_Value_Absolute_Humidity
9.03,F 16,DPT_Concentration_μgm3
10.001,N 3N 5r 2N 6r 2 N 6,DPT_TimeOfDay
11.001,r 3N 5r 4N 4r 1U 7,DPT_Date
12.001,U 32,DPT_Value_4_Ucount
12.1,U 32,DPT_LongTimePeriod_Sec
12.101,U 32,DPT_LongTimePeriod_Min
12.102,U 32,DPT_LongTimePeriod_Hrs
12.12,U 32,DPT_VolumeLiquid_Litre
12.1201,U 32,DPT_Volume_m3
13.001,V32,DPT_Value_4_Count
13.002,V32,DPT_FlowRate_m3/h
13.01,V32,DPT_ActiveEnergy
13.011,V32,DPT_ApparantEnergy
13.012,V32,DPT_ReactiveEnergy
13.013,V32,DPT_ActiveEnergy_kWh
13.014,V32,DPT_ApparantEnergy_kVAh
13.015,V32,DPT_ReactiveEnergy_kVARh
13.016,V32,DPT_ActiveEnergy_MWh
13.1,V32,DPT_LongDeltaTimeSec
13.12,V32,DPT_DeltaVolumeLiquid_Litre
13.1201,V32,DPT_DeltaVolume_m3
14,F 32,DPT_Value_Acceleration
14.001,F 32,DPT_Value_Acceleration_Angular
14.002,F 32,DPT_Value_Activation_Energy
14.003,F 32,DPT_Value_Activity
14.004,F 32,DPT_Value_Mol
14.005,F 32,DPT_Value_Amplitude
14.006,F 32,DPT_Value_AngleRad
14.007,F 32,DPT_Value_AngleDeg
14.008,F 32,DPT_Value_Angular_Momentum
14.009,F 32,DPT_Value_Angular_Velocity
14.01,F 32,DPT_Value_Area
14.011,F 32,DPT_Value_Capacitance
14.012,F 32,DPT_Value_Charge_DensitySurface
14.013,F 32,DPT_Value_Charge_DensityVolume
14.014,F 32,DPT_Value_Compressibility
14.015,F 32,DPT_Value_Conductance
14.016,F 32,DPT_Value_Electrical_Conductivity
14.017,F 32,DPT_Value_Density
14.018,F 32,DPT_Value_Electric_Charge
14.019,F 32,DPT_Value_Electric_Current
14.02,F 32,DPT_Value_Electric_CurrentDensity
14.021,F 32,DPT_Value_Electric_DipoleMoment
14.022,F 32,DPT_Value_Electric_Displacement
14.023,F 32,DPT_Value_Electric_FieldStrength
14.024,F 32,DPT_Value_Electric_Flux
14.025,F 32,DPT_Value_Electric_FluxDensity
14.026,F 32,DPT_Value_Electric_Polarization
14.027,F 32,DPT_Value_Electric_Potential
14.028,F 32,DPT_Value_Electric_PotentialDifference
14.029,F 32,DPT_Value_ElectromagneticMoment
14.03,F 32,DPT_Value_Electromotive_Force
14.031,F 32,DPT_Value_Energy
14.032,F 32,DPT_Value_Force
14.033,F 32,DPT_Value_Frequency
14.034,F 32,DPT_Value_Angular_Frequency
14.035,F 32,DPT_Value_Heat_Capacity
14.036,F 32,DPT_Value_Heat_FlowRate
14.037,F 32,DPT_Value_Heat_Quantity
14.038,F 32,DPT_Value_Impedance
14.039,F 32,DPT_Value_Length
14.04,F 32,DPT_Value_Light_Quantity
14.041,F 32,DPT_Value_Luminance
14.042,F 32,DPT_Value_Luminous_Flux
14.043,F 32,DPT_Value_Luminous_Intensity
14.044,F 32,DPT_Value_Magnetic_FieldStrength
14.045,F 32,DPT_Value_Magnetic_Flux
14.046,F 32,DPT_Value_Magnetic_FluxDensity
14.047,F 32,DPT_Value_Magnetic_Moment
14.048,F 32,DPT_Value_Magnetic_Polarization
14.049,F 32,DPT_Value_Magnetization
14.05,F 32,DPT_Value_MagnetomotiveForce
14.051,F 32,DPT_Value_Mass
14.052,F 32,DPT_Value_MassFlux
14.053,F 32,DPT_Value_Momentum
14.054,F 32,DPT_Value_Phase_AngleRad
14.055,F 32,DPT_Value_Phase_AngleDeg
14.056,F 32,DPT_Value_Power
14.057,F 32,DPT_Value_Power_Factor
14.058,F 32,DPT_Value_Pressure
14.059,F 32,DPT_Value_Reactance
14.06,F 32,DPT_Value_Resistance
14.061,F 32,DPT_Value_Resistivity
14.062,F 32,DPT_Value_SelfInductance
14.063,F 32,DPT_Value_SolidAngle
14.064,F 32,DPT_Value_Sound_Intensity
14.065,F 32,DPT_Value_Speed
14.066,F 32,DPT_Value_Stress
14.067,F 32,DPT_Value_Surface_Tension
14.068,F 32,DPT_Value_Common_Temperature
14.069,F 32,DPT_Value_Absolute_Temperature
14.07,F 32,DPT_Value_TemperatureDifference
14.071,F 32,DPT_Value_Thermal_Capacity
14.072,F 32,DPT_Value_Thermal_Conductivity
14.073,F 32,DPT_Value_ThermoelectricPower
14.074,F 32,DPT_Value_Time
14.075,F 32,DPT_Value_Torque
14.076,F 32,DPT_Value_Volume
14.077,F 32,DPT_Value_Volume_Flux
14.078,F 32,DPT_Value_Weight
14.079,F 32,DPT_Value_Work
14.08,F 32,DPT_Value_ApparentPower
14.12,F 32,DPT_Volume_Flux_Meter
14.1201,F 32,DPT_Volume_Flux_ls
15,U 4U 4U 4U 4 U 4U 4B 4N 4,DPT_Access_Data
16,A112,DPT_String_ASCII
16.001,A112,DPT_String_8859_1
17.001,r 2U 6,DPT_SceneNumber
18.001,B1r 1U 6,DPT_SceneControl
19.001,U 8 [r 4 U 4 ][r 3 U 5 ][U 3 U 5 ][r 2 U 6 ][r 2 U 6 ]B 16,DPT_DateTime
20.001,N 8,DPT_SCLOMode
20.002,N 8,DPT_BuildingMode
20.003,N 8,DPT_OccMode
20.004,N 8,DPT_Priority
20.005,N 8,DPT_LightApplicationMode
20.006,N 8,DPT_ApplicationArea
20.007,N 8,DPT_AlarmClassType
20.008,N 8,DPT_PSUMode
20.011,N 8,DPT_ErrorClass_System
20.012,N 8,DPT_ErrorClass_HVAC
20.013,N 8,DPT_Time_Delay
20.014,N 8,DPT_Beaufort_Wind_Force_Scale
20.017,N 8,DPT_SensorSelect
20.02,N 8,DPT_ActuatorConnectType
20.021,N 8,DPT_Cloud_Cover
20.022,N 8,DPT_PowerReturnMode
20.1,N 8,DPT_FuelType
20.101,N 8,DPT_BurnerType
20.102,N 8,DPT_HVACMode
20.103,N 8,DPT_DHWMode
20.104,N 8,DPT_LoadPriority
20.105,N 8,DPT_HVACContrMode
20.106,N 8,DPT_HVACEmergMode
20.107,N 8,DPT_ChangeoverMode
20.108,N 8,DPT_ValveMode
20.109,N 8,DPT_DamperMode
20.11,N 8,DPT_HeaterMode
20.111,N 8,DPT_FanMode
20.112,N 8,DPT_MasterSlaveMode
20.113,N 8,DPT_StatusRoomSetp
20.114,N 8,DPT_Metering_DeviceType
20.115,N 8,DPT_HumDehumMode
20.12,N 8,DPT_ADAType
20.121,N 8,DPT_BackupMode
20.122,N 8,DPT_StartSynchronization
20.6,N 8,DPT_Behaviour_Lock_Unlock
20.601,N 8,DPT_Behaviour_Bus_Power_Up_Down
20.602,N 8,DPT_DALI_Fade_Time
20.603,N 8,DPT_BlinkingMode
20.604,N 8,DPT_LightControlMode
20.605,N 8,DPT_SwitchPBModel
20.606,N 8,DPT_PBAction
20.607,N 8,DPT_DimmPBModel
20.608,N 8,DPT_SwitchOnMode
20.609,N 8,DPT_LoadTypeSet
20.61,N 8,DPT_LoadTypeDetected
20.611,N 8,DPT_Converter_Test_Control
20.612,N 8,DPT_Converter_Control
20.613,N 8,DPT_Converter_Data_Request
20.801,N 8,DPT_SABExceptBehaviour
20.802,N 8,DPT_SABBehaviour_Lock_Unlock
20.803,N 8,DPT_SSSBMode
20.804,N 8,DPT_BlindsControlMode
20.1,N 8,DPT_CommMode
20.1001,N 8,DPT_AddInfoTypes
20.1002,N 8,DPT_RF_ModeSelect
20.1003,N 8,DPT_RF_FilterSelect
20.1004,N 8,DPT_Medium
20.1005,N 8,DPT_PB_Function
20.12,N 8,DPT_MBus_BreakerValve_State
20.1202,N 8,DPT_Gas_Measurement_Condition
20.1203,N 8,DPT_Breaker_Status
20.1204,N 8,DPT_Euridis_Communication_Interface_Status
20.1205,N 8,DPT_PLC_Status
20.1206,N 8,DPT_Peak_Event_Notice
20.1207,N 8,DPT_Peak_Event
20.1208,N 8,DPT_TIC_Type
20.1209,N 8,DPT_Type_TIC_Channel
21.001,B8,DPT_StatusGen
21.002,B8,DPT_Device_Control
21.1,B8,DPT_ForceSign
21.101,B8,DPT_ForceSignCool
21.102,B8,DPT_StatusRHC
21.103,B8,DPT_StatusSDHWC
21.104,B8,DPT_FuelTypeSet
21.105,B8,DPT_StatusRCC
21.106,B8,DPT_StatusAHU
21.601,B8,DPT_LightActuatorErrorInfo
21.1,B8,DPT_RF_ModeInfo
21.1001,B8,DPT_RF_FilterInfo
21.1002,B8,DPT_Security_Report
21.101,B8,DPT_Channel_Activation_8
21.12,B8,DPT_VirtualDryContact
21.1201,B8,DPT_Phases_Status
22.1,B16,DPT_StatusDHWC
22.101,B16,DPT_StatusRHCC
22.1,B16,DPT_Media
22.101,B16,DPT_Channel_Activation_16
23.001,N 2,DPT_OnOff_Action
23.002,N 2,DPT_Alarm_Reaction
23.003,N 2,DPT_UpDown_Action
23.102,N 2,DPT_HVAC_PB_Action
24.001,A[n],DPT_VarString_8859_1
25.1,U 4U 4,DPT_DoubleNibble
26.001,r 1b1U 6,DPT_SceneInfo
27.001,B32,DPT_CombinedInfoOnOff
28.001,A[n],DPT_UTF-8
29.01,V64,DPT_ActiveEnergy_V64
29.011,V64,DPT_ApparantEnergy_V64
29.012,V64,DPT_ReactiveEnergy_V64
30.101,B24,DPT_Channel_Activation_24
31.101,N 3,DPT_PB_Action_HVAC_Extended
200.1,B1Z 8,DPT_Heat/Cool_Z
200.101,B1Z 8,DPT_BinaryValue_Z
201.1,N 8Z 8,DPT_HVACMode_Z
201.102,N 8Z 8,DPT_DHWMode_Z
201.104,N 8Z 8,DPT_HVACContrMode_Z
201.105,N 8Z 8,DPT_EnablH/Cstage_Z
201.107,N 8Z 8,DPT_BuildingMode_Z
201.108,N 8Z 8,DPT_OccMode_Z
201.109,N 8Z 8,DPT_HVACEmergMode_Z
202.001,U 8Z 8,DPT_RelValue_Z
202.002,U 8Z 8,DPT_UCountValue8_Z
203.002,U 16Z 8,DPT_TimePeriodMsec_Z
203.003,U 16Z 8,DPT_TimePeriod10Msec_Z
203.004,U 16Z 8,DPT_TimePeriod100Msec_Z
203.005,U 16Z 8,DPT_TimePeriodSec_Z
203.006,U 16Z 8,DPT_TimePeriodMin_Z
203.007,U 16Z 8,DPT_TimePeriodHrs_Z
203.011,U 16Z 8,DPT_UFlowRateLiter/h_Z
203.012,U 16Z 8,DPT_UCountValue16_Z
203.013,U 16Z 8,DPT_UElCurrentμA_Z
203.014,U 16Z 8,DPT_PowerKW_Z
203.015,U 16Z 8,DPT_AtmPressureAbs_Z
203.017,U 16Z 8,DPT_PercentU16_Z
203.1,U 16Z 8,DPT_HVACAirQual_Z
203.101,U 16Z 8,DPT_WindSpeed_Z
203.102,U 16Z 8,DPT_SunIntensity_Z
203.104,U 16Z 8,DPT_HVACAirFlowAbs_Z
204.001,V8Z 8,DPT_RelSignedValue_Z
205.002,V16Z 8,DPT_DeltaTimeMsec_Z
205.003,V16Z 8,DPT_DeltaTime10Msec_Z
205.004,V16Z 8,DPT_DeltaTime100Msec_Z
205.005,V16Z 8,DPT_DeltaTimeSec_Z
205.006,V16Z 8,DPT_DeltaTimeMin_Z
205.007,V16Z 8,DPT_DeltaTimeHrs_Z
205.017,V16Z 8,DPT_Percent_V16_Z
205.1,V16Z 8,DPT_TempHVACAbs_Z
205.101,V16Z 8,DPT_TempHVACRel_Z
205.102,V16Z 8,DPT_HVACAirFlowRel_Z
206.1,U 16N 8,DPT_HVACModeNext
206.102,U 16N 8,DPT_DHWModeNext
206.104,U 16N 8,DPT_OccModeNext
206.105,U 16N 8,DPT_BuildingModeNext
207.1,U 8B8,DPT_StatusBUC
207.101,U 8B8,DPT_LockSign
207.102,U 8B8,DPT_ValueDemBOC
207.104,U 8B8,DPT_ActPosDemAbs
207.105,U 8B8,DPT_StatusAct
207.6,U 8B8,DPT_StatusLightingActuator
209.1,V16B 8,DPT_StatusHPM
209.101,V16B 8,DPT_TempRoomDemAbs
209.102,V16B 8,DPT_StatusCPM
209.103,V16B 8,DPT_StatusWTC
210.1,V16B 16,DPT_TempFlowWaterDemAbs
211.1,U 8N 8,DPT_EnergyDemWater
212.1,V16V 16V16,DPT_TempRoomSetpSetShift[3]
212.101,V16V 16V16,DPT_TempRoomSetpSet[3]
213.1,V16V 16V16V16,DPT_TempRoomSetpSet[4]
213.101,V16V 16V16V16,DPT_TempDHWSetpSet[4]
213.102,V16V 16V16V16,DPT_TempRoomSetpSetShift[4]
214.1,V16U 8 B8,DPT_PowerFlowWaterDemHPM
214.101,V16U 8 B8,DPT_PowerFlowWaterDemCPM
215.1,V16U 8 B16,DPT_StatusBOC
215.101,V16U 8 B16,DPT_StatusCC
216.1,U 16U 8N 8 B8,DPT_SpecHeatProd
217.001,U 5U 5U 6,DPT_Version
218.001,V32Z 8,DPT_VolumeLiter_Z
218.002,V32Z 8,DPT_FlowRate_m3/h_Z
219.001,U 8N 8N 8N 8 B8 B8,DPT_AlarmInfo
220.1,U 16V16,DPT_TempHVACAbsNext
221.001,N 16U 32,DPT_SerNum
222.1,F 16F 16F 16,DPT_TempRoomSetpSetF16[3]
222.101,F 16F 16F 16,DPT_TempRoomSetpSetShiftF16[3]
223.1,V8N 8N 8,DPT_EnergyDemAir
224.1,V16V 16N 8N 8,DPT_TempSupplyAirSetpSet
225.001,U 16U 8,DPT_ScalingSpeed
225.002,U 16U 8,DPT_Scaling_Step_Time
225.003,U 16U 8,DPT_TariffNext
229.001,V32N 8Z 8,DPT_MeteringValue
230.1,U 16U 32U 8N 8,DPT_MBus_Address
231.001,A8A8 A8 A8,DPT_Locale_ASCII
232.6,U 8U 8U 8,DPT_Colour_RGB
234.001,A8A8,DPT_LanguageCodeAlpha2_ASCII
234.002,A8A8,DPT_RegionCodeAlpha2_ASCII
235.001,V32U 8 B8,DPT_Tariff_ActiveEnergy
236.001,B1N 3N 4,DPT_Prioritised_Mode_Control
237.6,B10U 6,DPT_DALI_Control_Gear_Diagnostic
238.001,B2U 6,DPT_SceneConfig
238.6,B2U 6,DPT_DALI_Diagnostics
239.001,U 8r 7B1,DPT_FlaggedScaling
240.8,U 8U 8B8,DPT_CombinedPosition
241.8,U 8U 8B16,DPT_StatusSAB
242.6,U 16U 16U 8r 6 B2,DPT_Colour_xyY
243.6,U 16U 16U 16 U 8r 6B2,DPT_Colour_Transition_xyY
244.6,N 4B4N 2 N 2N 2N 2,DPT_Converter_Status
245.6,N 4N 4N 4N 2 N 2N 2N 2U 16U 8,DPT_Converter_Test_Result
246.6,r 4B4U 8,DPT_Battery_Info


247.6,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B8-[B1r 7]U 16 U 16,DPT_Converter_Test_Info
248.6,N 8U 8U 8U 8 B8,DPT_Converter_Info_Fix
250.6,r 4B1U 3r 4B 1 U 3B 8,DPT_Brightness_Colour_Temperature_Control
251.6,U 8U 8U 8U 8 r 8r 4 B4,DPT_Colour_RGBW
252.6,r 4B1U 3r 4B 1 U 3r 4B1 U 3r 4B1 U 3B8,DPT_Relative_Control_RGBW
253.6,r 4B1U 3r 4B 1 U 3r 4B1 U 3B8,DPT_Relative_Control_xyY
254.6,r 4B1U 3r 4B 1 U 3r 4B1 U 3,DPT_Relative_Control_RGB
255.001,F 32F 32,DPT_GeographicalLocation
256.001,"U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16U 8[r 4U 4][r 3U 5][U 3 U 5][r 2U 6][r 2U 6]B 16",DPT_DateTime_Period
257.12,F 32F 32F 32,DPT_Value_Electric_Current_3
257.1201,F 32F 32F 32,DPT_Value_Electric_Potential_3
257.1202,F 32F 32F 32,DPT_Value_ApparentPower_3
265.001,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 B1,DPT_DateTime_Switch
265.005,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 B1,DPT_DateTime_Alarm
265.009,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 B1,DPT_DateTime_OpenClose
265.011,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 B1,DPT_DateTime_State
265.012,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 B1,DPT_DateTime_Invert
265.12,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 B1,DPT_DateTime_ConsumerProducer
265.1201,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 B1,DPT_DateTime_EnergyDirection
266.027,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16F 32,DPT_DateTime_Value_Electric_Potential
266.056,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16F 32,DPT_DateTime_Value_Power
266.08,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16F 32,DPT_DateTime_Value_ApparentPower
267.001,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 A[n],DPT_DateTime_UTF-8
268.1203,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16N 8,DPT_DateTime_Breaker_Status
268.1204,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16N 8,DPT_DateTime_Euridis_Communication_Interface_Status
268.1205,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16N 8,DPT_DateTime_PLC_Status
268.1206,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16N 8,DPT_DateTime_Peak_Notice
269.12,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 V32 U8 B8,DPT_DateTime_Tariff_ActiveEnergy
270.12,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16F 32F 32F 32,DPT_DateTime_Value_Electric_Current_3
270.1201,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16F 32F 32F 32,DPT_DateTime_Value_Electric_Potential_3
270.1202,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16F 32F 32F 32,DPT_DateTime_Value_ApparentPower_3
271.12,[N 3U 5][r 2U 6][r 2U 6][U 4 U 4]U 8[U 6N 2][r 1B7],DPT_TariffDayProfile
272.6,N 8U 16U 16U 8U 8,DPT_Converter_Info
273.001,B8U 16U 8F 16 F 16,DPT_Forecast_Temperature
273.002,B8U 16U 8F 16 F 16,DPT_Forecast_WindSpeed
273.003,B8U 16U 8F 16 F 16,DPT_Forecast_RelativeHumidity
273.004,B8U 16U 8F 16 F 16,DPT_Forecast_AbsoluteHumidity
273.005,B8U 16U 8F 16 F 16,DPT_Forecast_CO2
273.006,B8U 16U 8F 16 F 16,DPT_Forecast_AirPollutants
273.007,B8U 16U 8F 16 F 16,DPT_Forecast_SunIntensity
274.001,B8U 16U 8 U 8 U 8,DPT_Forecast_Wind_Direction
276.12,U 8U 8U 8r 3B 5,DPT_ERL_Status
277.12,A[12](V32U 8B8)[4],DPT_4_EnergyRegisters
278.12,A[12](V32U 8B8)[5],DPT_5_EnergyRegisters
279.12,A[12](V32U 8B8)[6],DPT_6_EnergyRegisters
280.12,A[12](V32U 8B8)[11],DPT_11_EnergyRegisters
281.12,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 A[12](V32U 8 B8)[4],DPT_DateTime_4_EnergyRegisters
282.12,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 A[12](V32U 8 B8)[5],DPT_DateTime_5_EnergyRegisters
283.12,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 A[12](V32U 8 B8)[6],DPT_DateTime_6_EnergyRegisters
284.12,U 8[r 4U 4][r 3 U 5][U 3U 5][r 2U 6][r 2 U 6]B16 A[12](V32U 8 B8)[11],DPT_DateTime_11_EnergyRegisters
